Name,Address,Phone,Rating,Website
Halfords - Abbey Lane (Leicester),"Unit B St. Margaret's Way, Leicester LE4 0BY, UK",N/A,4.1,https://www.halfords.com/locations/abbey-lane-store/#utm_source=directorylisting&utm_medium=organic&utm_campaign=retail
Halfords - Putney Road (Leicester),"35 Putney Rd, Leicester LE2 7TF, UK",N/A,4.1,https://www.halfords.com/stores/putney-road/#utm_source=directorylisting&utm_medium=organic&utm_campaign=retail
B&Q Wigston,"Bull Head St, Wigston LE18 1PA, UK",0116 288 1360,4.1,https://www.diy.com/store/1043?utm_source=google&utm_medium=organic&utm_campaign=Google_1043
Kwik Fit - Leicester - Wigston,"Bull Head St, Leicester, Wigston LE18 3LS, UK",0116 281 2801,4.4,https://www.kwik-fit.com/locate-a-centre/leicester-wigston-bullhead-street?utm_medium=Google-My-Business&utm_source=Google-My-Business&utm_campaign=leicester-wigston-bullhead-street&utm_content=website-button
Kwik Fit - Leicester - Humberstone,"277-279 Uppingham Rd, Rowlatts Hill, Leicester LE5 4DG, UK",0116 246 1010,4.4,https://www.kwik-fit.com/locate-a-centre/leicester-humberstone-uppingham-road?utm_medium=Google-My-Business&utm_source=Google-My-Business&utm_campaign=leicester-humberstone-uppingham-road&utm_content=website-button
Sterling Bearings,"Sterling House, 2 Law St, Leicester LE4 5GR, UK",0116 261 0330,5,http://www.sterlingbearings.com/
Sandicliffe Mazda Leicester,"154 Welford Rd, Leicester LE2 6BW, UK",0116 404 3253,4.3,https://www.sandicliffe.co.uk/our-locations/leicester-mazda.html
Sytner Leicester BMW,"Meridian Business Park, Meridian E, Leicester LE19 1UY, UK",0116 217 4987,4.3,https://www.sytner.co.uk/bmw/dealerships/leicester/?utm_medium=business_place&utm_source=google&utm_campaign=bmw_leicester_google_business_place
QS Supplies,"72 Forest Rd, Leicester LE5 0DG, UK",0116 251 0051,3.5,https://www.qssupplies.co.uk/
"Parkers "" The Parts People"" ( Leicester )","Foundry Square, Belgrave Gate, Leicester LE1 3WW, UK",0116 242 8200,4.4,http://www.thepartspeople.co.uk/
Kwik Fit - Leicester - Abbey Park,"237-239 Abbey Ln, Leicester LE4 5QH, UK",0116 268 0969,4.2,https://www.kwik-fit.com/locate-a-centre/leicester-abbey-park-abbey-lane?utm_medium=Google-My-Business&utm_source=Google-My-Business&utm_campaign=leicester-abbey-park-abbey-lane&utm_content=website-button
The Dent Brothers Ltd,"12 Stretton Rd, Leicester LE3 6BN, UK",07811 133370,3.3,N/A
Marshall Land Rover Leicester,"445 Narborough Rd, Leicester LE3 2RE, UK",0116 427 2026,3.7,https://www.marshall.co.uk/land-rover/contact-us/marshall-land-rover-leicester/?utm_source=GMB-LandRoverLeicester&utm_medium=Organic&utm_campaign=Local
In Car Services,"252-258 Loughborough Rd, Belgrave, Leicester LE4 5LH, UK",0116 261 0456,4.5,http://www.incarservices.co.uk/
